DATA,PM10,co,no2,Coletor
16/10/1997,51412,35243,93893,Carlos F.
17/10/1997,39619,20986,59603,Carlos F.
18/10/1997,33381,16657,51217,Carlos F.
19/10/1997,39523,14371,57307,Carlos F.
20/10/1997,35556,28871,66313,Carlos F.
21/10/1997,48199,52043,95498,Carlos F.
22/10/1997,40562,52657,648,Carlos F.
23/10/1997,34541,20857,69928,Carlos F.
24/10/1997,53411,38814,122685,Carlos F.
25/10/1997,73364,39043,125353,Carlos F.
26/10/1997,43218,25129,75077,Carlos F.
27/10/1997,53001,22086,10119,Carlos F.
28/10/1997,69322,46686,175943,Carlos F.
29/10/1997,81587,50629,163917,Carlos F.
30/10/1997,51601,25729,105775,Carlos F.
31/10/1997,61688,31586,136287,Carlos F.
01/11/1997,63134,35986,99568,Carlos F.
02/11/1997,42499,32343,89945,Carlos F.
03/11/1997,51655,38443,134368,Carlos F.
04/11/1997,37531,207,65298,Carlos F.
05/11/1997,47737,22971,68137,Olemir H.
06/11/1997,67961,38643,156458,Patrícia M.
07/11/1997,63308,38257,143658,Carlos F.
08/11/1997,43653,2815,77992,Olemir H.
09/11/1997,50565,2155,78028,Olemir H.
10/11/1997,99133,3435,167342,Carlos F.
11/11/1997,98228,52917,224103,José Silveira
12/11/1997,72944,53357,146037,José Silveira
13/11/1997,79685,417,117792,José Silveira
14/11/1997,48871,40683,8813,Olemir H.
15/11/1997,26877,18517,58676,José Silveira
16/11/1997,37922,23433,83636,Olemir H.
17/11/1997,50927,43083,18309,José Silveira
18/11/1997,37668,44867,95068,Olemir H.
19/11/1997,32051,24783,6638,José Silveira
20/11/1997,43319,2605,85475,Olemir H.
21/11/1997,5437,39471,11102,Olemir H.
22/11/1997,47938,35571,88157,Olemir H.
23/11/1997,46672,27686,7774,Olemir H.
24/11/1997,40365,38114,102698,Olemir H.
25/11/1997,38898,232,72878,Olemir H.
26/11/1997,42872,28729,67478,Olemir H.
27/11/1997,45472,36771,7542,Olemir H.
28/11/1997,37075,33367,8065,Olemir H.
29/11/1997,43873,21383,54356,Olemir H.
30/11/1997,39691,16017,5772,Olemir H.
01/12/1997,52262,42567,93342,Olemir H.
02/12/1997,40948,4205,71336,Olemir H.
03/12/1997,53832,374,91714,Olemir H.
04/12/1997,61694,46043,11236,Olemir H.
05/12/1997,65241,39471,202098,Olemir H.
06/12/1997,64922,32186,8769,Carlos F.
07/12/1997,46218,23843,79782,Carlos F.
08/12/1997,48568,30114,81822,Carlos F.
09/12/1997,58278,27043,14191,Carlos F.
10/12/1997,51662,23886,116327,Carlos F.
11/12/1997,59873,232,108252,Carlos F.
12/12/1997,67465,32071,12945,Carlos F.
13/12/1997,47408,38157,85002,Carlos F.
14/12/1997,32588,32986,54388,Carlos F.
15/12/1997,35633,33,66273,Carlos F.
16/12/1997,49994,32729,110117,Carlos F.
17/12/1997,35432,18714,5546,Carlos F.
18/12/1997,44781,29071,9212,Carlos F.
19/12/1997,45595,35743,102803,Carlos F.
